pos,corr_resp,random,seq,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
-50,x,random,,0,0,0,0,40,2,162,0,,,,,416.7900284000207,417.79074229998514,417.79074229998514,417.79074229998514,417.79074229998514,417.79074229998514,418.77429839991964,418.77429839991964,x,1,0.3316760000307113,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
150,v,random,,0,0,0,0,40,3,163,1,,,,,419.1244502000045,420.12457430013455,420.12457430013455,420.12457430013455,420.12457430013455,420.12457430013455,421.12533210008405,421.12533210008405,v,1,0.3545512000564486,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
-50,x,random,,0,0,0,0,41,0,164,0,,,,,421.5085426000878,422.4924220999237,422.4924220999237,422.4924220999237,422.4924220999237,422.5090761000756,423.4928675999399,423.4928675999399,x,1,0.4686724999919534,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
-150,z,random,,0,0,0,0,41,1,165,3,,,,,423.9927976001054,424.9932121001184,424.9932121001184,424.9932121001184,424.9932121001184,424.9932121001184,425.993745099986,425.993745099986,z,1,0.46494229999370873,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
150,v,random,,0,0,0,0,41,2,166,1,,,,,426.4771046999376,427.47738540009595,427.47738540009595,427.47738540009595,427.47738540009595,427.47738540009595,428.478123200126,428.478123200126,v,1,0.4062993999104947,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
50,c,random,,0,0,0,0,41,3,167,2,,,,,428.911371299997,429.91192870005034,429.91192870005034,429.91192870005034,429.91192870005034,429.91192870005034,430.8956834001001,430.8956834001001,c,1,0.3590406000148505,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
-150,z,random,,0,0,0,0,42,0,168,3,,,,,431.27896089991555,432.2793654000852,432.2793654000852,432.2793654000852,432.2793654000852,432.2793654000852,433.2797946999781,433.2797946999781,z,1,0.4890409999061376,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
50,c,random,,0,0,0,0,42,1,169,2,,,,,433.7967519001104,434.7971856999211,434.7971856999211,434.7971856999211,434.7971856999211,434.7971856999211,435.7975997000467,435.7975997000467,c,1,0.5106301000341773,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
-50,x,random,,0,0,0,0,42,2,170,0,,,,,436.33075660001487,437.3315147999674,437.3315147999674,437.3315147999674,437.3315147999674,437.3315147999674,438.3150663000997,438.3150663000997,x,1,0.4558981000445783,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
150,v,random,,0,0,0,0,42,3,171,1,,,,,438.79856260004453,439.79903990007006,439.79903990007006,439.79903990007006,439.79903990007006,439.79903990007006,440.7826457999181,440.7826457999181,v,1,0.45529079996049404,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
-50,x,random,,0,0,0,0,43,0,172,0,,,,,441.26627820008434,442.2666195000056,442.2666195000056,442.2666195000056,442.2666195000056,442.2666195000056,443.26685440004803,443.26685440004803,x,1,0.7212561999913305,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
-150,z,random,,0,0,0,0,43,1,173,3,,,,,444.01721450011246,445.01747640012763,445.01747640012763,445.01747640012763,445.01747640012763,445.01747640012763,446.0181293000933,446.0181293000933,z,1,0.5672611999325454,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
150,v,random,,0,0,0,0,43,2,174,1,,,,,446.6180696999654,447.6186319999397,447.6186319999397,447.6186319999397,447.6186319999397,447.6186319999397,448.61904400005005,448.61904400005005,v,1,0.45541139994747937,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
50,c,random,,0,0,0,0,43,3,175,2,,,,,449.10259389993735,450.1028770999983,450.1028770999983,450.1028770999983,450.1028770999983,450.1028770999983,451.10344610014,451.10344610014,c,1,0.49469990003854036,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
150,v,random,,0,0,0,0,44,0,176,1,,,,,451.62018480012193,452.62064910004847,452.62064910004847,452.62064910004847,452.62064910004847,452.62064910004847,453.6209331001155,453.6209331001155,v,1,0.6339866002090275,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
-50,x,random,,0,0,0,0,44,1,177,0,,,,,454.2875691000372,455.288165200036,455.288165200036,455.288165200036,455.288165200036,455.288165200036,456.27204910013825,456.27204910013825,x,1,0.5716750998981297,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
-150,z,random,,0,0,0,0,44,2,178,3,,,,,456.8719895000104,457.8724798001349,457.8724798001349,457.8724798001349,457.8724798001349,457.8724798001349,458.8563218000345,458.8563218000345,z,1,0.5323689999058843,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
50,c,random,,0,0,0,0,44,3,179,2,,,,,459.4062628999818,460.38991619995795,460.38991619995795,460.38991619995795,460.38991619995795,460.40686800004914,461.3902789000422,461.3902789000422,c,1,0.5898965999949723,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
-150,z,random,,0,0,0,0,45,0,180,3,,,,,462.0073816999793,463.0077220001258,463.0077220001258,463.0077220001258,463.0077220001258,463.0077220001258,464.00807520002127,464.00807520002127,z,1,0.6102118000853807,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
-50,x,random,,0,0,0,0,45,1,181,0,,,,,464.6413632000331,465.64207220007665,465.64207220007665,465.64207220007665,465.64207220007665,465.64207220007665,466.6258469999302,466.6258469999302,x,1,0.3954457000363618,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
150,v,random,,0,0,0,0,45,2,182,1,,,,,467.0426709000021,468.04279950005,468.04279950005,468.04279950005,468.04279950005,468.04279950005,469.04345250013284,469.04345250013284,v,1,0.3449986001942307,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
50,c,random,,0,0,0,0,45,3,183,2,,,,,469.4102904999163,470.4104500000831,470.4104500000831,470.4104500000831,470.4104500000831,470.4104500000831,471.4108333999757,471.4108333999757,c,1,0.4498741999268532,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
150,v,random,,0,0,0,0,46,0,184,1,,,,,471.87787199998274,472.8781974001322,472.8781974001322,472.8781974001322,472.8781974001322,472.8781974001322,473.87855469994247,473.87855469994247,v,1,0.4853877001442015,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
